Id,Label,timeset,modularity_class,eigencentrality
663,,,20,0.225113
664,,,136,0.008353
665,,,21,0.093729
666,,,21,0.001798
667,,,21,0
668,,,18,0.029562
669,,,22,0
670,,,22,0.001643
671,,,22,0
672,,,13,0.03595
673,,,36,0.068496
674,,,17,0.083462
675,,,36,0
676,,,186,0.001643
677,,,186,0.032744
678,,,19,0.008332
679,,,19,0.032096
680,,,365,0
681,,,24,0.007303
682,,,197,0.089874
683,,,136,0.051119
684,,,9,0.13937
685,,,4,0.004493
686,,,3,0
687,,,136,0
688,,,47,0.07776
689,,,15,0
690,,,9,0.04102
691,,,40,0.000821
692,,,9,0
693,,,26,0
694,,,365,0.048052
695,,,365,0
696,,,6,0.001104
697,,,15,0.011297
698,,,23,0
699,,,23,0.000821
700,,,19,0
701,,,19,0.011239
702,,,186,0.000821
703,,,9,0.156446
704,,,41,0.005251
705,,,365,0
706,,,27,0.005205
707,,,24,0.014928
708,,,30,0
709,,,30,0.056758
710,,,4,0
711,,,30,0
712,,,30,0
713,,,30,0.002936
714,,,27,0.038313
715,,,30,0
716,,,41,0
717,,,15,0.021312
718,,,41,0.000968
719,,,6,0
720,,,7,0
721,,,365,0.045706
722,,,30,0.046854
723,,,4,0.018473
724,,,186,0.106403
725,,,9,0.096187
726,,,30,0.005761
727,,,17,0.019603
728,,,15,0.056464
729,,,197,0.025964
730,,,15,0.004698
731,,,197,0
732,,,8,0
733,,,44,0.138102
734,,,136,0.070975
735,,,68,0.037411
736,,,9,0.122502
737,,,365,0
738,,,44,0.015875
739,,,44,0.024978
740,,,44,0.028477
741,,,36,0.026879
742,,,44,0
743,,,34,0.009699
744,,,37,0
745,,,44,0
746,,,3,0
747,,,26,0.01341
748,,,13,0
749,,,37,0.009434
750,,,44,0.001643
751,,,44,0
752,,,15,0.038035
753,,,34,0.005503
754,,,34,0
755,,,17,0.084095
756,,,266,0.142561
757,,,0,0.001193
758,,,24,0.120632
759,,,10,0.017892
760,,,40,0.015337
761,,,4,0.013642
762,,,266,0
763,,,136,0.048724
764,,,7,0.0134
765,,,13,0.019556
766,,,21,0.02415
767,,,41,0
768,,,41,0.001643
769,,,41,0
770,,,4,0.098315
771,,,9,0.002084
772,,,81,0.019301
773,,,15,0.075686
774,,,29,0.10932
775,,,21,0
776,,,6,0
777,,,2,0.006895
778,,,20,0
779,,,365,0.215166
780,,,37,0.086795
781,,,136,0.02549
782,,,9,0.003624
783,,,81,0.019316
784,,,81,0
785,,,3,0.004242
786,,,136,0
787,,,15,0
788,,,8,0.015955
789,,,12,0.013623
790,,,81,0
791,,,41,0.001495
792,,,15,0.055163
793,,,17,0.102017
794,,,365,0.022082
795,,,17,0.016446
796,,,186,0.046084
797,,,7,0
798,,,17,0
799,,,68,0.001977
800,,,17,0.228712
801,,,17,0.019707
802,,,365,0.003813
803,,,21,0.041468
804,,,21,0
805,,,27,0
806,,,4,0.001235
807,,,17,0.048534
808,,,11,0.127554
809,,,0,0.046882
810,,,0,0
811,,,0,0.00135
812,,,37,0
813,,,0,0
814,,,136,0.079364
815,,,4,0.224305
